indice,Date,Time,QLF5,PLF5
341,9/14/2023,14 09 2023 05:40:00,1.00,12.90
342,9/14/2023,14 09 2023 05:41:00,1.00,12.80
343,9/14/2023,14 09 2023 05:42:00,1.00,12.70
344,9/14/2023,14 09 2023 05:43:00,1.00,13.00
345,9/14/2023,14 09 2023 05:44:00,0.00,13.50
346,9/14/2023,14 09 2023 05:45:00,0.00,13.80
347,9/14/2023,14 09 2023 05:46:00,0.00,14.10
348,9/14/2023,14 09 2023 05:47:00,0.00,14.10
349,9/14/2023,14 09 2023 05:48:00,0.00,14.00
350,9/14/2023,14 09 2023 05:49:00,0.00,13.90
351,9/14/2023,14 09 2023 05:50:00,0.00,13.80
352,9/14/2023,14 09 2023 05:51:00,0.00,14.00
353,9/14/2023,14 09 2023 05:52:00,0.00,14.20
354,9/14/2023,14 09 2023 05:53:00,0.00,14.00
355,9/14/2023,14 09 2023 05:54:00,0.00,13.90
356,9/14/2023,14 09 2023 05:55:00,0.00,13.80
357,9/14/2023,14 09 2023 05:56:00,0.00,13.80
358,9/14/2023,14 09 2023 05:57:00,0.00,14.20
359,9/14/2023,14 09 2023 05:58:00,0.00,14.60
360,9/14/2023,14 09 2023 05:59:00,0.00,14.60
361,9/14/2023,14 09 2023 06:00:00,199.00,14.60
362,9/14/2023,14 09 2023 06:01:00,198.00,14.50
363,9/14/2023,14 09 2023 06:02:00,198.00,14.50
364,9/14/2023,14 09 2023 06:03:00,198.00,14.50
365,9/14/2023,14 09 2023 06:04:00,198.00,13.90
366,9/14/2023,14 09 2023 06:05:00,198.00,13.90
367,9/14/2023,14 09 2023 06:06:00,198.00,13.90
368,9/14/2023,14 09 2023 06:07:00,198.00,13.90
369,9/14/2023,14 09 2023 06:08:00,198.00,14.10
370,9/14/2023,14 09 2023 06:09:00,198.00,14.10
371,9/14/2023,14 09 2023 06:10:00,198.00,14.10
372,9/14/2023,14 09 2023 06:11:00,198.00,13.90
373,9/14/2023,14 09 2023 06:12:00,198.00,14.00
374,9/14/2023,14 09 2023 06:13:00,198.00,14.10
375,9/14/2023,14 09 2023 06:14:00,198.00,14.20
376,9/14/2023,14 09 2023 06:15:00,198.00,14.20
377,9/14/2023,14 09 2023 06:16:00,198.00,14.20
